date,daily_sales,avg_temp,is_holiday,is_weekend,is_summer,is_monsoon,num_outlets,num_items,day_of_week,day_of_month,month_num,quarter,week_of_year,year,is_friday,is_monday,is_december,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_30,roll_mean_7,roll_mean_14,roll_mean_30,roll_std_7,roll_max_7,roll_min_7,roll_median_7,temp_lag_1,temp_above_30
2021-01-31,5436,21.143103448275863,0,1,0,0,12,8,6,31,1,1,4,2021,0,0,0,4459.0,3352.0,3252.0,4895.0,5089.0,6290.0,5475.0,4242.571428571428,4089.5714285714284,4002.8333333333335,979.2124143315139,5963.0,3252.0,4273.0,20.601923076923075,0
2021-02-01,3625,23.29090909090909,0,0,0,0,12,8,0,1,2,1,5,2021,0,1,0,5436.0,4459.0,3352.0,4273.0,3319.0,2822.0,4265.0,4319.857142857143,4114.357142857143,4001.5333333333333,1057.507987136335,5963.0,3252.0,4273.0,21.143103448275863,0
2021-02-02,3070,22.857777777777777,0,0,0,0,12,8,1,2,2,1,5,2021,0,0,0,3625.0,5436.0,4459.0,5963.0,3865.0,3852.0,4829.0,4227.285714285715,4136.214285714285,3980.2,1090.151627723672,5963.0,3252.0,3625.0,23.29090909090909,0
2021-02-03,3695,22.83703703703704,0,0,0,0,12,8,2,3,2,1,5,2021,0,0,0,3070.0,3625.0,5436.0,3504.0,3473.0,3479.0,3374.0,3814.0,4079.4285714285716,3921.5666666666666,842.7686515289944,5436.0,3070.0,3504.0,22.857777777777777,0
2021-02-04,4263,23.15,0,0,0,0,12,8,3,4,2,1,5,2021,0,0,0,3695.0,3070.0,3625.0,3252.0,3927.0,3450.0,3451.0,3841.285714285714,4095.285714285714,3932.266666666667,834.1066507119485,5436.0,3070.0,3625.0,22.83703703703704,0
2021-02-05,3083,22.659574468085108,0,0,0,0,12,8,4,5,2,1,5,2021,1,0,0,4263.0,3695.0,3070.0,3352.0,3702.0,3798.0,3680.0,3985.714285714286,4119.285714285715,3959.3333333333335,801.9737556565705,5436.0,3070.0,3695.0,23.15,0
2021-02-06,5109,23.472727272727273,0,1,0,0,12,8,5,6,2,1,5,2021,0,0,0,3083.0,4263.0,3695.0,4459.0,4181.0,3681.0,3069.0,3947.285714285714,4075.0714285714284,3939.4333333333334,842.8061687572285,5436.0,3070.0,3695.0,22.659574468085108,0
2021-02-07,4340,23.305769230769233,0,1,0,0,12,8,6,7,2,1,5,2021,0,0,0,5109.0,3083.0,4263.0,5436.0,4895.0,5089.0,3255.0,4040.1428571428573,4141.357142857143,4007.4333333333334,938.9093723697774,5436.0,3070.0,3695.0,23.472727272727273,0
2021-02-08,3320,23.4078431372549,0,0,0,0,12,8,0,8,2,1,6,2021,0,1,0,4340.0,5109.0,3083.0,3625.0,4273.0,3319.0,4061.0,3883.5714285714284,4101.714285714285,4043.6,737.0209986024498,5109.0,3070.0,3695.0,23.305769230769233,0
2021-02-09,3197,23.298000000000002,0,0,0,0,12,8,1,9,2,1,6,2021,0,0,0,3320.0,4340.0,5109.0,3070.0,5963.0,3865.0,6290.0,3840.0,4033.6428571428573,4018.9,763.3985416106932,5109.0,3070.0,3695.0,23.4078431372549,0
2021-02-10,3026,22.982978723404255,0,0,0,0,12,8,2,10,2,1,6,2021,0,0,0,3197.0,3320.0,4340.0,3695.0,3504.0,3473.0,2822.0,3858.1428571428573,3836.0714285714284,3915.8,743.293219075628,5109.0,3083.0,3695.0,23.298000000000002,0
2021-02-11,4124,22.921666666666667,0,0,0,0,12,8,3,11,2,1,6,2021,0,0,0,3026.0,3197.0,3320.0,4263.0,3252.0,3927.0,3852.0,3762.5714285714284,3801.9285714285716,3922.6,807.9622221248667,5109.0,3026.0,3320.0,22.982978723404255,0
